id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC3831,LB,42.5,1061,1.58071,F,8,Left,1,0.39,0.35,48.0940581
PC3839,PI,42.8,1131,1.7564629,M,9,Left,1,0.61,0.51,50.1021653
PC3840,LB,37.1,672,1.4378166,M,7,Left,1,0.34,0.54,32.1957339
PC3841,PI,49.5,1714,1.9217087,M,9,Left,1,0.52,0.79,33.3540258
PC3842,LB,42,1010,1.8412973,M,8,Left,1,0.6,0.45,53.1301024
PC3843,LB,40.7,815,1.8129056,M,9,Left,1,0.38,0.81,25.132955
PC3844,LB,34.7,504,1.459648,M,7,Left,1,0.37,0.34,47.4195092
PC3845,PI,46.9,1455,2.0275085,M,11,Left,1,0.66,0.65,45.4373639
PC3846,PI,43,990,1.7665138,M,9,Left,1,0.43,0.75,29.8270847
PC3847,PI,36.7,655,1.5849015,M,8,Left,1,0.46,0.45,45.6295986
PC3848,PI,41.2,1001,1.7885364,M,9,Left,1,0.45,0.64,35.1120112
PC3849,LB,33.8,362,1.5337752,F,7,Left,1,0.39,0.53,36.3474582
PC3851,PL,22.3,130,1.0937171,M,9,Left,1,0.27,0.26,46.0809242
PC3855,PL,19.4,74,0.8475624,M,5,Left,1,0.13,0.19,34.3803447
PC3859,PL,14.8,36,0.5783102,M,5,Left,1,0.08,0.15,28.0724869
PC3863,PL,14,33,0.5643297,M,4,Left,1,0.09,0.16,29.3577535
PC3864,PI,45,1078,1.8850439,M,9,Left,1,0.36,0.36,45
PC3865,PI,24.5,162,1.1188713,M,7,Left,1,0.22,0.25,41.3477772
PC3867,LB,24.5,145,1.0379227,F,NA,Left,1,0.31,0.2,57.1714582
PC3868,LB,34.2,430,1.0363248,F,6,Left,1,0.28,0.26,47.1210964
PC3870,PL,20.5,81,0.8542629,F,7,Left,1,0.09,0.22,22.2490237
PC3873,PL,18.5,65,0.8136642,M,5,Left,1,0.11,0.21,27.6459754
PC3875,PL,21,103,0.9586296,M,5,Left,1,0.15,0.23,33.111342
PC3876,PL,18.8,74,0.7692542,F,5,Left,1,0.11,0.08,53.9726266
PC3885,PL,19.1,72,0.8528283,M,5,Left,1,0.1,0.13,37.568592
PC3896,PI,32.8,420,1.5156805,M,7,Left,1,0.26,0.4,33.0238676
PC3898,PI,45.6,1246,2.02753,M,10,Left,1,0.43,0.38,48.5322946
PC3900,PI,42.3,1091,1.6069573,F,8,Left,1,0.4,0.34,49.6354634
PC3901,PI,32.6,396,1.4128628,M,8,Left,1,0.37,0.39,43.4925642
PC3903,SB,17,56.35,0.6346327,F,,Left,1,0.13,0.24,28.4429286
PC3904,SB,12.9,28.22,0.4516642,F,,Left,1,0.13,0.11,49.7636417
PC3905,SB,14.9,30.98,0.6168322,F,,Left,1,0.25,0.17,55.7842979
PC3906,SB,13.7,28,0.5517737,F,,Left,1,0.19,0.14,53.6156482
PC3907,SB,15,33.2,0.542951,F,,Left,1,0.18,0.1,60.9453959
PC3908,SB,15.2,35.16,0.6542346,F,,Left,1,0.26,0.13,63.4349488
PC3909,SB,13.5,22.81,0.5668606,M,,Left,1,0.15,0.15,45
PC3910,SB,13,24.5,0.6118178,M,,Left,1,0.17,0.19,41.8201699
PC3912,SB,16.2,41.6,0.7224972,F,,Left,1,0.23,0.13,60.524111
PC3913,SB,12.9,24.26,0.5436717,M,,Left,1,0.21,0.17,51.009006
PC3914,SB,15.9,45.37,0.703114,F,,Left,1,0.21,0.15,54.4623222
PC3915,SB,13.7,26.47,0.6255865,M,,Left,1,0.16,0.13,50.9061411
PC3916,SB,13.9,27.19,0.5047694,M,,Left,1,0.22,0.17,52.3057595
PC3917,SB,14.7,35.24,0.6151123,M,,Left,1,0.22,0.13,59.4207731
PC3918,SB,14.8,35.5,0.6437018,M,,Left,1,0.23,0.12,62.4471884
PC3919,SB,14.5,31.49,0.6159936,F,,Left,1,0.19,0.13,55.6196553
PC3921,SB,11.2,16,0.1868123,F,,Left,1,0.13,0.13,45
PC3922,SB,14.8,21.2,0.5529679,M,,Left,1,0.21,0.11,62.3540246
PC3923,SB,13.9,27.7,0.6413723,M,,Left,1,0.1,0.16,32.0053832
PC3924,SB,13.6,26.44,0.5046917,M,,Left,1,0.22,0.17,52.3057595
PC3925,SB,14.8,31.05,0.4958832,F,,Left,1,0.18,0.13,54.1623471
PC3926,SB,13.7,25.66,0.5866406,M,,Left,1,0.21,0.21,45
PC3927,SB,13.3,28.1,0.5107096,M,,Left,1,0.26,0.22,49.7636417
PC3929,SB,13.3,26.92,0.5551984,M,,Left,1,0.26,0.19,53.8418146
PC3931,SB,11.8,16.33,0.3344535,F,,Left,1,0.14,0.11,51.8427734
PC3934,SB,11.1,14.32,0.2181833,M,,Left,1,0.14,0.1,54.4623222
PC3935,SB,10.4,11.87,0.1303157,M,,Left,1,0.17,0.1,59.5344551
PC4200,PL,12.3,22.18,0.4566677,M,,Left,1,0.07,0.13,28.3007558
PC4201,PL,14,29.18,0.636036,M,,Left,1,0.1,0.15,33.6900675
PC4202,PL,13.7,31.74,0.5689762,M,,Left,1,0.07,0.15,25.0168935
PC4203,PL,15,38.61,0.7029269,M,,Left,1,0.06,0.17,19.4400348
