id_me;morph;length_cm;weight_g;sex;age;top_left_1;side_left_1;angle_left_1;top_right_1;side_right_1;angle_right_1;side_left_5;top_left_5;angle_left_5;side_right_5;top_right_5;angle_right_5;morph_sex
PC3831;LB;42,5;1061;F;8;0,39;0,35;48,09405806;0,39;0,57;34,38034472;0,37;0,41;47,93567345;0,43;0,3;34,90249562;LB_F
PC3839;PI;42,8;1131;M;9;0,61;0,51;50,10216525;0,56;0,63;41,63353934;0,58;0,53;42,4208525;0,69;0,49;35,3802722;PI_M
PC3840;LB;37,1;672;M;7;0,34;0,54;32,19573393;0,31;0,5;31,79891282;0,37;0,34;42,58049078;0,31;0,33;46,78991061;LB_M
PC3841;PI;49,5;1714;M;9;0,52;0,79;33,35402575;0,21;0,85;13,8775298;0,71;0,67;43,33971763;0,6;0,59;44,51853419;PI_M
PC3842;LB;42;1010;M;8;0,6;0,45;53,13010235;0,31;0,56;28,96766065;0,55;0,56;45,51616423;0,57;0,45;38,29016319;LB_M
PC3843;LB;40,7;815;M;9;0,38;0,81;25,13295499;0,37;0,61;31,23921489;0,62;0,49;38,32011394;0,56;0,57;45,50702906;LB_M
PC3844;LB;34,7;504;M;7;0,37;0,34;47,41950922;0,33;0,45;36,25383774;0,39;0,32;39,36931724;0,41;0,39;43,56790382;LB_M
PC3845;PI;46,9;1455;M;11;0,66;0,65;45,43736387;0,45;0,5;41,9872125;0,59;0,59;45;0,59;0,59;45;PI_M
PC3846;PI;43;990;M;9;0,43;0,75;29,82708465;0,36;0,7;27,21611156;0,54;0,52;43,91907581;0,56;0,5;41,7602997;PI_M
PC3847;PI;36,7;655;M;8;0,46;0,45;45,62959861;0,46;0,41;48,28924268;0,44;0,46;46,27303002;0,43;0,51;49,86451444;PI_M
PC3848;PI;41,2;1001;M;9;0,45;0,64;35,11201118;0,47;0,74;32,42106476;0,55;0,49;41,69813433;0,59;0,53;41,9335145;PI_M
PC3849;LB;33,8;362;F;7;0,39;0,53;36,34745821;0,42;0,55;37,36666941;0,49;0,5;45,57872557;0,46;0,46;45;LB_F
PC3851;PL;22,3;130;M;9;0,27;0,26;46,08092419;0,21;0,21;45;0,29;0,27;42,95459151;0,14;0,21;56,30993247;PL_M
PC3855;PL;19,4;74;M;5;0,13;0,19;34,38034472;0,1;0,21;25,46334506;0,18;0,07;21,25050551;0,18;0,05;15,524111;PL_M
PC3859;PL;14,8;36;M;5;0,08;0,15;28,07248694;0,07;0,15;25,01689348;0,12;0,07;30,25643716;0,13;0,06;24,77514057;PL_M
PC3863;PL;14;33;M;4;0,09;0,16;29,35775354;0,09;0,15;30,96375653;0,12;0,06;26,56505118;0,14;0,08;29,7448813;PL_M
PC3864;PI;45;1078;M;9;0,36;0,36;45;0,26;0,41;32,38067771;0,49;0,29;30,61860541;0,51;0,22;23,33404128;PI_M
PC3865;PI;24,5;162;M;7;0,22;0,25;41,34777722;0,08;0,29;15,42216132;0,22;0,15;34,28687698;0,21;0,04;10,78429787;PI_M
PC3867;LB;24,5;145;F;NA;0,31;0,2;57,17145821;0,28;0,25;48,2397003;0,18;0,22;50,71059314;0,25;0,27;47,20259816;LB_F
PC3868;LB;34,2;430;F;6;0,28;0,26;47,1210964;0,27;0,18;56,30993247;0,27;0,28;46,04162668;0,12;0,28;66,80140949;LB_F
PC3870;PL;20,5;81;F;7;0,09;0,22;22,24902366;0,07;0,21;18,43494882;0,16;0,11;34,50852299;0,17;0,05;16,38954033;PL_F
PC3873;PL;18,5;65;M;5;0,11;0,21;27,64597536;0,08;0,16;26,56505118;0,15;0,07;25,01689348;0,12;0,06;26,56505118;PL_M
PC3875;PL;21;103;M;5;0,15;0,23;33,11134196;0,11;0,22;26,56505118;0,21;0,14;33,69006753;0,2;0,12;30,96375653;PL_M
PC3876;PL;18,8;74;F;5;0,11;0,08;53,97262661;0,11;0,1;47,72631099;0,1;0,09;41,9872125;0,12;0,1;39,80557109;PL_F
PC3885;PL;19,1;72;M;5;0,1;0,13;37,56859203;0,08;0,13;31,60750225;0,16;0,09;29,35775354;0,14;0,05;19,65382406;PL_M
PC3896;PI;32,8;420;M;7;0,26;0,4;33,02386756;0,23;0,35;33,31063082;0,45;0,25;29,0546041;0,42;0,23;28,70595254;PI_M
PC3898;PI;45,6;1246;M;10;0,43;0,38;48,53229458;0,64;0,55;49,32506043;0,54;0,47;41,03534528;0,71;0,5;35,15417763;PI_M
PC3900;PI;42,3;1091;F;8;0,4;0,34;49,63546343;0,52;0,47;47,8912696;0,29;0,37;51,91122712;0,35;0,43;50,85601359;PI_F
PC3901;PI;32,6;396;M;8;0,37;0,39;43,49256424;0,39;0,35;48,09405806;0,23;0,45;62,92791976;0,38;0,42;47,86240523;PI_M
PC3903;SB;17;56,35;F;;0,13;0,24;28,44292862;0,1;0,24;22,61986495;0,16;0,2;51,34019175;0,16;0,18;48,36646066;SB_F
PC3904;SB;12,9;28,22;F;;0,13;0,11;49,76364169;0,15;0,05;71,56505118;0,09;0,15;59,03624347;0,05;0,13;68,96248897;SB_F
PC3905;SB;14,9;30,98;F;;0,25;0,17;55,78429787;0,18;0,15;50,19442891;0,14;0,12;40,60129465;0,07;0,15;64,98310652;SB_F
PC3906;SB;13,7;28;F;;0,19;0,14;53,61564818;0,19;0,14;53,61564818;0,1;0,16;57,99461679;0,11;0,15;53,74616226;SB_F
PC3907;SB;15;33,2;F;;0,18;0,1;60,9453959;0,2;0,13;56,97613244;0,14;0,15;46,97493401;0,14;0,15;46,97493401;SB_F
PC3908;SB;15,2;35,16;F;;0,26;0,13;63,43494882;0,17;0,08;64,79887635;0,13;0,15;49,08561678;0,16;0,17;46,73570459;SB_F
PC3909;SB;13,5;22,81;M;;0,15;0,15;45;0,2;0,19;46,46880071;0,16;0,15;43,15238973;0,17;0,15;41,42366563;SB_M
PC3910;SB;13;24,5;M;;0,17;0,19;41,82016988;0,16;0,21;37,30394828;0,26;0,15;29,98163937;0,2;0,15;36,86989765;SB_M
PC3912;SB;16,2;41,6;F;;0,23;0,13;60,524111;0,23;0,19;50,44033203;0,2;0,22;47,72631099;0,1;0,2;63,43494882;SB_F
PC3913;SB;12,9;24,26;M;;0,21;0,17;51,00900596;0,2;0,18;48,0127875;0,22;0,18;39,28940686;0,19;0,18;43,4518423;SB_M
