id;morph;angle_vert_left_1;angle_vert_right_1;top_left_1;side_left_1;top_right_1;side_right_1;angle_vert_left_2;angle_vert_right_2;top_left_2;side_left_2;top_right_2;side_right_2;angle_ts_left_1;angle_ts_left_2;angle_ts_right_1;angle_ts_right_2;vert_mean_1;vert_mean_2;ts_mean_1;ts_mean_2,,,,,,,,,,,,,,,,
PC3831;LB;62;56;0,4;0,36;0,39;0,37;58;13;0,41;0,37;0,38;0,38;48,0127875;47,93567345;46,50743576;45;59;35,5;47,26011163;46,46783672,,
PC3839;PI;36;31;0,5;0,45;0,55;0,58;32;27;0,63;0,57;0,56;0,61;48,0127875;47,86240523;43,47923034;42,55295136;33,5;29,5;45,74600892;45,20767829
PC3840;LB;42;33;0,27;0,5;0,29;0,4;35;39;0,32;0,49;0,31;0,42;28,36904629;33,14699583;35,94211187;36,43085812;37,5;37;32,15557908;34,78892698,
PC3841;PI;37;11;0,53;0,46;0,2;0,81;32;12;0,54;0,52;0,27;0,82;49,04448557;46,08092419;13,86968644;18,22507511;24;22;31,45708601;32,15299965,,
PC3842;LB;25;27;0,63;0,46;0,3;0,53;44;29;0,64;0,49;0,32;0,76;53,86462339;52,56142843;29,51149856;22,83365418;26;36,5;41,68806097;37,6975413,
PC3843;LB;15;3;0,31;0,62;0,38;0,56;11;7;0,34;0,75;0,4;0,7;26,56505118;24,3863711;34,15969455;29,7448813;9;9;30,36237286;27,656262,,
PC3844;LB;26;40;0,37;0,31;0,3;0,32;30;32;0,37;0,34;0,31;0,36;50,04245107;47,41950922;43,15238973;40,7321067;33;31;46,5974204;44,7580796,,
PC3845;PI;30;35;0,62;0,7;0,48;0,62;33;36;0,57;0,54;0,46;0,61;41,53177074;46,5481577;37,74680539;37,01988625;32,5;34,5;39,63928806;41,78402198
PC3846;PI;22;30;0,43;0,58;0,34;0,55;21;48;0,37;0,75;0,32;0,55;36,55247275;26,25865955;31,72360296;30,19162296;26;34,5;34,13803785;28,22514126,
PC3847;PI;42;30;0,38;0,43;0,42;0,35;44;22;0,43;0,47;0,41;0,36;41,46770542;42,45519562;50,19442891;48,71528911;36;33;45,83106716;45,58524236,,
