id_me,morph,length_cm,weight_g,sex,mat,age,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,side,replica,bone,tooth_count
PC3831,LB,42.5,1061,F,2,8,1.5586187,1.58071,0.13205113,Right,May,Maxilla,21
PC3834,PL,15.6,37,M,4,5,0.6291754,0.6628085,-1.007234783,Right,May,Maxilla,NA
PC3839,PI,42.8,1131,M,4,9,1.7415688,1.7564629,0.350827091,Right,May,Maxilla,25
PC3840,LB,37.1,672,M,4,7,1.4828573,1.4378166,0.007383798,Right,May,Maxilla,19
PC3841,PI,49.5,1714,M,4,9,1.937873,1.9217087,0.584365556,Right,May,Maxilla,22
PC3842,LB,42,1010,M,4,8,1.8332211,1.8412973,0.400484215,Right,May,Maxilla,24
PC3843,LB,40.7,815,M,6,9,1.7678126,1.8129056,0.404936718,Right,May,Maxilla,25
PC3844,LB,34.7,504,M,4,7,1.4081087,1.459648,-0.113099349,Right,May,Maxilla,21
PC3845,PI,46.9,1455,M,6,11,2.0186447,2.0275085,0.468832295,Right,May,Maxilla,23
PC3846,PI,43,990,M,6,9,NA,1.7665138,0.296609108,Right,May,Maxilla,20
PC3847,PI,36.7,655,M,5,8,1.6099149,1.5849015,0.123313747,Right,May,Maxilla,23
PC3848,PI,41.2,1001,M,6,9,1.8546751,1.7885364,0.28820758,Right,May,Maxilla,20
PC3849,LB,33.8,362,F,7.2,7,1.4153292,1.5337752,0.033599962,Right,May,Maxilla,23
PC3851,PL,22.3,130,M,5,9,1.0687775,1.0937171,-0.510273636,Right,May,Maxilla,21
PC3855,PL,19.4,74,M,4,5,0.8422651,0.8475624,-0.824705533,Right,May,Maxilla,18
PC3859,PL,14.8,36,M,4,5,0.5639932,0.5783102,-0.980015057,Right,May,Maxilla,19
PC3863,PL,14,33,M,4,4,0.5710018,0.5643297,-1.045710316,Right,May,Maxilla,19
PC3864,PI,45,1078,M,6,9,2.0029992,1.8850439,0.414055703,Right,May,Maxilla,21
PC3865,PI,24.5,162,M,6,7,1.1564078,1.1188713,-0.413937577,Right,May,Maxilla,21
PC3867,LB,24.5,145,F,7.2,NA,0.9464805,1.0379227,-0.379390371,Right,May,Maxilla,23
PC3868,LB,34.2,430,F,7.2,6,1.038272,1.0363248,-0.444461286,Right,May,Maxilla,21
PC3870,PL,20.5,81,F,5,7,0.9242483,0.8542629,-0.725948756,Right,May,Maxilla,19
PC3873,PL,18.5,65,M,4,5,0.8320848,0.8136642,-0.880453934,Right,May,Maxilla,20
PC3875,PL,21,103,M,4,5,0.9819967,0.9586296,-0.568431211,Right,May,Maxilla,20
PC3876,PL,18.8,74,F,5,5,0.7322076,0.7692542,-0.86281665,Right,May,Maxilla,17
PC3885,PL,19.1,72,M,6,5,0.8210114,0.8528283,-0.774791158,Right,May,Maxilla,19
PC3896,PI,32.8,420,M,6,7,1.5252606,1.5156805,-0.057643464,Right,May,Maxilla,20
PC3898,PI,45.6,1246,M,6,10,2.025862,2.02753,0.637697336,Right,May,Maxilla,25
PC3899,LB,48.7,1420,F,6,9,1.6971693,1.7703241,0.465863757,Right,May,Maxilla,24
PC3900,PI,42.3,1091,F,5,8,1.6523943,1.6069573,0.12783555,Right,May,Maxilla,24
PC3901,PI,32.6,396,M,6,8,1.4216041,1.4128628,0.004037116,Right,May,Maxilla,25
PC3902,PI,57.3,2894,M,5,10,2.1712059,2.1100131,0.71242774,Right,May,Maxilla,25
PC3903,SB,17,56.35,F,5,5,0.6000235,0.6346327,-0.774381933,Right,May,Maxilla,24
PC3904,SB,12.9,28.22,F,5,4,0.4150921,0.4516642,-1.003410065,Right,May,Maxilla,20
PC3905,SB,14.9,30.98,F,2,5,0.6152143,0.6168322,-0.777672664,Right,May,Maxilla,20
PC3906,SB,13.7,28,F,2,7,0.5430349,0.5517737,-0.912239832,Right,May,Maxilla,24
PC3907,SB,15,33.2,F,2,5,0.5394382,0.542951,-0.904789606,Right,May,Maxilla,23
PC3908,SB,15.2,35.16,F,2,6,0.6217177,0.6542346,-0.877749849,Right,May,Maxilla,19
PC3909,SB,13.5,22.81,M,5,4,0.5015971,0.5668606,-0.860448789,Right,May,Maxilla,21
PC3910,SB,13,24.5,M,4,6,0.5085693,0.6118178,-0.853142035,Right,May,Maxilla,25
PC3911,SB,14.2,27.55,F,7/2,4,0.4846234,0.5699031,-0.974304755,Right,May,Maxilla,18
PC3912,SB,16.2,41.6,F,2,7,0.6862319,0.7224972,-0.705606857,Right,May,Maxilla,19
PC3913,SB,12.9,24.26,M,6,4,0.473748,0.5436717,-0.938199131,Right,May,Maxilla,19
PC3914,SB,15.9,45.37,F,5,NA,0.6782429,0.703114,-0.7808484,Right,May,Maxilla,21
PC3915,SB,13.7,26.47,M,6,5,0.5445751,0.6255865,-0.875101655,Right,May,Maxilla,22
PC3916,SB,13.9,27.19,M,6,4,0.4695412,0.5047694,-0.972828179,Right,May,Maxilla,19
PC3917,SB,14.7,35.24,M,6,4,0.5828725,0.6151123,-0.861368739,Right,May,Maxilla,21
PC3918,SB,14.8,35.5,M,5/6,5,0.5853096,0.6437018,-0.798660967,Right,May,Maxilla,21
PC3919,SB,14.5,31.49,F,7/2,5,0.5350201,0.6159936,-0.85093237,Right,May,Maxilla,18
PC3920,SB,15.8,40.13,F,6,7,0.577064,0.6326842,-0.732467664,Right,May,Maxilla,NA
PC3921,SB,11.2,16,F,1/2,3,0.166474,0.1868123,-1.230980929,Right,May,Maxilla,18
PC3922,SB,14.8,21.2,M,6,4,0.5711424,0.5529679,-0.840918147,Right,May,Maxilla,20
PC3923,SB,13.9,27.7,M,6,4,0.5995857,0.6413723,-0.837887336,Right,May,Maxilla,18
PC3924,SB,13.6,26.44,M,6,6,0.4352847,0.5046917,-0.997121018,Right,May,Maxilla,19
PC3925,SB,14.8,31.05,F,7/2,5,0.4724983,0.4958832,-0.9025594,Right,May,Maxilla,16
PC3926,SB,13.7,25.66,M,7,5,0.5364519,0.5866406,-0.913631681,Right,May,Maxilla,20
PC3927,SB,13.3,28.1,M,5,6,0.4263665,0.5107096,-0.950879056,Right,May,Maxilla,16
PC3928,SB,12,18.5,F,1/2,4,0.343988,0.3711457,-1.060488942,Right,May,Maxilla,22
PC3929,SB,13.3,26.92,M,5,5,0.4993513,0.5551984,-0.857250736,Right,May,Maxilla,21
PC3930,SB,13.28,27.2,F,7/2,4,0.4890359,0.5175446,-0.968886261,Right,May,Maxilla,19
PC3931,SB,11.8,16.33,F,2,5,0.302511,0.3344535,-1.059804303,Right,May,Maxilla,20
PC3932,SB,11.5,15.13,M,5,5,0.2926577,0.3003698,-1.123799011,Right,May,Maxilla,18
PC3933,SB,10.8,13.32,M,6,NA,0.3582864,0.3872391,-1.153053901,Right,May,Maxilla,NA
PC3934,SB,11.1,14.32,M,5,4,0.1952916,0.2181833,-1.183775094,Right,May,Maxilla,19
PC3935,SB,10.4,11.87,M,1/2,4,0.1359213,0.1303157,-1.272472238,Right,May,Maxilla,21
PC4200,PL,12.3,22.18,M,6,5,0.4072205,0.4566677,-1.185360757,Right,May,Maxilla,17
PC4201,PL,14,29.18,M,4,5,0.5865523,0.636036,-1.076760449,Right,May,Maxilla,20
PC4202,PL,13.7,31.74,M,5,5,0.5022135,0.5689762,-1.048678246,Right,May,Maxilla,19
PC4203,PL,15,38.61,M,7,5,0.6118862,0.7029269,-1.172480586,Right,May,Maxilla,19
PC4204,PL,13.4,26.01,M,5,5,0.502597,0.5801471,-1.02897568,Right,May,Maxilla,19
PC4205,PL,13.6,29.49,M,4,4,0.5378583,0.5518292,-1.045443037,Right,May,Maxilla,19
PC4206,PL,13.3,25.06,M,6,4,0.4682351,0.4802286,-1.099458193,Right,May,Maxilla,17
PC4207,PL,13.6,29.32,M,6,4,0.5604644,0.5615581,-1.151141189,Right,May,Maxilla,16
PC4208,PL,14.7,37.35,M,6,4,0.6601469,0.6539983,-0.971904167,Right,May,Maxilla,21
PC4209,PL,14,30.39,M,6,NA,0.5430616,0.4873203,-1.109427483,Right,May,Maxilla,17
PC4210,PL,17,52.56,M,6,5,0.6710905,0.729533,-0.954332778,Right,May,Maxilla,18
PC4211,PL,15.6,39.25,M,5,4,0.6388534,0.5924699,-0.952107117,Right,May,Maxilla,15
PC4212,PL,13.4,25.34,M,5,5,0.5232894,0.5594861,-1.153639724,Right,May,Maxilla,18
PC4213,PL,14.4,33.98,M,6,4,0.5674114,0.5186075,-1.066685327,Right,May,Maxilla,19
PC4214,PL,12,20.83,M,6,5,0.4108039,0.4061405,-1.135128076,Right,May,Maxilla,18
PC4215,PL,17,51.2,M,6,5,0.7897646,0.7808549,-0.75804432,Right,May,Maxilla,21
PC4216,PL,16.1,48.79,M,6,4,0.7110148,0.7072824,-0.996963833,Right,May,Maxilla,19
