id_me,morph,length_cm,weight_g,sex,mat,age,may_maxilla_rt,may_maxilla_lt,may_premaxilla_rt,may_premaxilla_lt,may_palatine_rt,may_palatine_lt,may_dentary_rt,may_dentary_lt,may_vomer,may_glossohyal,may_maxilla_mean,may_premaxilla_mean,may_palatine_mean,may_dentary_mean,may_maxilla_sum,may_premaxilla_sum,may_palatine_sum,may_dentary_sum,march_maxilla_rt,march_maxilla_lt,march_premaxilla_rt,march_premaxilla_lt,march_palatine_rt,march_palatine_lt,march_dentary_rt,march_dentary_lt,march_vomer,march_glossohyal,march_maxilla_mean,march_premaxilla_mean,march_palatine_mean,march_dentary_mean,march_maxilla_sum,march_premaxilla_sum,march_palatine_sum,march_dentary_sum,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,maxilla_rt,maxilla_lt,premaxilla_rt,premaxilla_lt,palatine_rt,palatine_lt,dentary_rt,dentary_lt,maxilla,premaxilla,palatine,dentary,vomer,glossohyal
PC3831,LB,42.5,1061,F,2,8,21,21,7,8,18,19,13,12,4,12,21,7.5,18.5,12.5,42,15,37,25,21,21,6,7,17,19,10,10,4,11,21,6.5,18,10,42,13,36,20,1.5586187,1.58071,0.13205113,21,21,6.5,7.5,17.5,19,11.5,11,21,7,18.25,11.25,4,11.5
PC3834,PL,15.6,37,M,4,5,NA,20,9,9,15,11,12,15,5,13,20,9,13,13.5,NA,18,26,27,NA,19,7,6,14,9,13,13,5,12,19,6.5,11.5,13,NA,13,23,26,0.6291754,0.6628085,-1.007234783,NA,19.5,8,7.5,14.5,10,12.5,14,19.5,7.75,12.25,13.25,5,12.5
PC3839,PI,42.8,1131,M,4,9,25,22,8,8,19,20,18,18,8,13,23.5,8,19.5,18,47,16,39,36,26,22,8,8,19,20,18,17,7,13,24,8,19.5,17.5,48,16,39,35,1.7415688,1.7564629,0.350827091,25.5,22,8,8,19,20,18,17.5,23.75,8,19.5,17.75,7.5,13
PC3840,LB,37.1,672,M,4,7,19,20,6,7,12,13,14,14,5,12,19.5,6.5,12.5,14,39,13,25,28,21,20,6,7,14,16,13,12,5,10,20.5,6.5,15,12.5,41,13,30,25,1.4828573,1.4378166,0.007383798,20,20,6,7,13,14.5,13.5,13,20,6.5,13.75,13.25,5,11
PC3841,PI,49.5,1714,M,4,9,22,24,8,9,19,21,22,22,8,14,23,8.5,20,22,46,17,40,44,21,24,9,8,19,21,20,20,8,13,22.5,8.5,20,20,45,17,40,40,1.937873,1.9217087,0.584365556,21.5,24,8.5,8.5,19,21,21,21,22.75,8.5,20,21,8,13.5
PC3842,LB,42,1010,M,4,8,24,25,8,9,17,16,21,20,6,13,24.5,8.5,16.5,20.5,49,17,33,41,24,24,8,9,17,18,19,18,6,14,24,8.5,17.5,18.5,48,17,35,37,1.8332211,1.8412973,0.400484215,24,24.5,8,9,17,17,20,19,24.25,8.5,17,19.5,6,13.5
PC3843,LB,40.7,815,M,6,9,25,24,7,7,18,15,17,18,5,10,24.5,7,16.5,17.5,49,14,33,35,25,24,8,7,17,16,16,18,5,10,24.5,7.5,16.5,17,49,15,33,34,1.7678126,1.8129056,0.404936718,25,24,7.5,7,17.5,15.5,16.5,18,24.5,7.25,16.5,17.25,5,10
PC3844,LB,34.7,504,M,4,7,21,19,7,7,15,15,13,12,6,11,20,7,15,12.5,40,14,30,25,18,20,5,5,16,14,12,11,6,9,19,5,15,11.5,38,10,30,23,1.4081087,1.459648,-0.113099349,19.5,19.5,6,6,15.5,14.5,12.5,11.5,19.5,6,15,12,6,10
PC3845,PI,46.9,1455,M,6,11,23,24,9,8,23,24,19,19,6,14,23.5,8.5,23.5,19,47,17,47,38,23,25,8,8,23,22,17,16,6,12,24,8,22.5,16.5,48,16,45,33,2.0186447,2.0275085,0.468832295,23,24.5,8.5,8,23,23,18,17.5,23.75,8.25,23,17.75,6,13
PC3846,PI,43,990,M,6,9,20,19,8,8,19,18,NA,NA,5,15,19.5,8,18.5,NA,39,16,37,NA,20,20,7,8,18,19,NA,NA,5,14,20,7.5,18.5,NA,40,15,37,NA,NA,1.7665138,0.296609108,20,19.5,7.5,8,18.5,18.5,NA,NA,19.75,7.75,18.5,NA,5,14.5
