id,morph,length_cm,weight_g,sex,head_length,bone,teeth_count
9,SB,12.5,22,F,32.16,Dentary,11
10,SB,14,37,F,36.2,Dentary,14
11,SB,16,23,F,28.7,Dentary,13
14,SB,12.5,25,F,29.1,Dentary,12
16,SB,12.5,23,F,31.03,Dentary,14
17,SB,13,24,F,31.3,Dentary,11
18,SB,14,37,F,36,Dentary,11
19,SB,14.5,33,F,34.1,Dentary,NA
22,SB,14.5,30,F,34.6,Dentary,12
81,SB,12.2,23,F,29.59,Dentary,12
82,SB,13.1,24,F,31.45,Dentary,14
83,SB,14.5,33,M,38.55,Dentary,13
84,SB,14,31,F,34.48,Dentary,10
85,SB,15,42,M,39.03,Dentary,12
86,SB,12.2,21,F,29.92,Dentary,13
87,SB,13.8,28,F,35.3,Dentary,14
88,SB,14.5,36,F,37.49,Dentary,15
89,SB,17.2,48,F,44.14,Dentary,14
96,SB,9.6,10,M,24.62,Dentary,13
97,SB,9.9,12,F,25.9,Dentary,16
100,SB,13.5,29,M,36.35,Dentary,13
163,SB,11,16,M,29.2,Dentary,12
169,SB,15.6,44,F,43.23,Dentary,12
170,SB,14,38,F,32.85,Dentary,13
171,SB,16,46,F,38.14,Dentary,15
172,SB,16.3,49,F,38.9,Dentary,14
179,SB,16.5,54,F,40.97,Dentary,18
180,SB,14.8,45,M,39.5,Dentary,12
182,SB,10.8,14,M,26.84,Dentary,12
183,SB,12,18,F,26.91,Dentary,13
184,SB,11.2,15,F,26.33,Dentary,12
187,SB,11.8,20,F,30.05,Dentary,12
189,SB,15.6,43,F,39.22,Dentary,10
31,LB,28.5,322,F,67.41,Dentary,16
32,LB,25,188,M,55.51,Dentary,12
33,LB,18.5,68,F,45.85,Dentary,13
34,LB,24,147,F,52.46,Dentary,14
35,LB,36,605,F,80.5,Dentary,13
36,LB,30.5,323,F,71.55,Dentary,17
37,LB,29,288,M,63.91,Dentary,12
38,LB,26,218,F,59.39,Dentary,17
39,LB,27,251,F,62.29,Dentary,13
40,LB,30,385,F,67.74,Dentary,14
41,LB,26.5,211,F,66.01,Dentary,17
42,LB,30.5,378,M,71.66,Dentary,16
43,LB,21,113,M,43.88,Dentary,13
44,LB,23.3,156,M,53.87,Dentary,12
45,LB,26.5,237,M,60.01,Dentary,12
47,LB,28.6,267,M,58.36,Dentary,12
48,LB,29.6,320,M,69.74,Dentary,12
49,LB,29.4,319,M,69.29,Dentary,12
50,LB,31.5,393,F,81.22,Dentary,12
51,LB,30.3,328,M,68.15,Dentary,13
52,LB,31.4,410,F,73.37,Dentary,15
107,LB,28.4,296,F,64.83,Dentary,13
108,LB,28,303,M,65.02,Dentary,14
109,LB,28,287,F,62.07,Dentary,13
110,LB,29.5,354,M,65.41,Dentary,12
111,LB,30.7,395,M,67.42,Dentary,13
112,LB,30.5,334,F,68.05,Dentary,16
113,LB,30.9,380,F,66.07,Dentary,13
114,LB,36.6,665,M,87.28,Dentary,13
115,LB,32.3,453,M,63.3,Dentary,13
117,LB,29.5,337,F,79.93,Dentary,12
118,LB,29.7,353,F,66.16,Dentary,16
1,PL,16.5,54,M,38.5,Dentary,18
2,PL,17,57,M,39.5,Dentary,NA
3,PL,17,61,M,NA,Dentary,17
4,PL,14.5,40,M,35.81,Dentary,14
5,PL,15,44,M,35.5,Dentary,15
6,PL,17.5,62,M,42.5,Dentary,16
7,PL,18,74,M,43.4,Dentary,16
8,PL,16.5,57,M,38.8,Dentary,17
53,PL,14.5,35,M,33.85,Dentary,14
54,PL,15.6,49,M,37.82,Dentary,17
55,PL,15.9,48,M,39.95,Dentary,15
56,PL,16.2,53,M,36.48,Dentary,16
57,PL,16.3,55,M,40.23,Dentary,13
58,PL,16.6,56,M,38.52,Dentary,15
59,PL,15.8,49,M,39.84,Dentary,16
60,PL,18.9,77,M,44.42,Dentary,18
61,PL,18.8,82,M,46.22,Dentary,16
62,PL,14.4,40,M,33.83,Dentary,15
90,PL,17.5,64,M,39.73,Dentary,16
91,PL,17.1,63,M,39.01,Dentary,15
92,PL,16.3,55,M,43.52,Dentary,15
93,PL,16.5,61,M,41.08,Dentary,14
192,PL,15.5,40,F,31.36,Dentary,15
194,PL,16,42,M,38.57,Dentary,17
195,PL,15.8,44,M,38.57,Dentary,18
196,PL,16.3,45,F,36.51,Dentary,15
197,PL,19.3,70,M,42.18,Dentary,17
198,PL,19.2,77,M,44.96,Dentary,14
199,PL,17.7,53,F,37.28,Dentary,17
200,PL,18.3,54,F,43.18,Dentary,15
201,PL,19.6,77,F,45.23,Dentary,12
202,PL,20.8,96,M,45.12,Dentary,20
203,PL,15.8,50,M,35.98,Dentary,17
204,PL,16.2,57,M,37.99,Dentary,21
205,PL,16.5,48,M,39.07,Dentary,20
206,PL,18,69,M,41.86,Dentary,19
207,PL,19.8,88,M,48.17,Dentary,15
24,PI,23.6,145,M,55.69,Dentary,13
25,PI,31.5,414,F,67.3,Dentary,15
26,PI,24.5,205,M,57.82,Dentary,20
27,PI,37.5,727,M,103.21,Dentary,13
28,PI,36,547,M,82.82,Dentary,14
29,PI,40,845,F,92.32,Dentary,14
30,PI,33.5,560,M,82.35,Dentary,13
63,PI,25.3,188,M,60.75,Dentary,19
65,PI,29,265,F,68.49,Dentary,14
66,PI,27.8,251,F,64.69,Dentary,18
67,PI,28.5,250,M,68,Dentary,15
68,PI,27.7,268,M,66.97,Dentary,13
69,PI,28.2,250,M,66.73,Dentary,13
72,PI,30,354,M,78.04,Dentary,15
94,PI,50.3,1624,M,125.4,Dentary,18
