id,morph,length_cm,weight_g,sex,head_length,glos_on,glos_off,glos_middel,glos_total,max_on,max_off,max_total,den_on,den_off,den_total,pal_on,pal_off,pal_total,vom_on,vom_off,vom_total,pre_on,pre_off,pre_total,angle,morph_sex
9,SB,12.5,22,F,32.16,6,4,NA,4,10,4,14,6,5,11,11,4,15,7,1,8,4,2,6,68.58,SBF
10,SB,14.0,37,F,36.2,9,2,1,3,12,4,16,9,5,14,11,3,14,4,NA,4,6,1,7,63.12,SBF
11,SB,16.0,23,F,28.7,9,4,NA,4,11,3,14,8,5,13,10,5,15,6,1,7,4,2,6,72.08,SBF
14,SB,12.5,25,F,29.1,7,5,NA,5,17,2,19,9,3,12,NA,NA,NA,5,1,6,5,NA,5,73.3,SBF
16,SB,12.5,23,F,31.03,6,5,3,8,12,5,17,8,6,14,7,2,9,6,NA,6,7,2,9,48.69,SBF
17,SB,13.0,24,F,31.3,8,6,1,7,11,6,17,9,2,11,9,6,15,4,1,5,6,1,7,62.54,SBF
18,SB,14.0,37,F,36,7,5,NA,5,9,7,16,2,9,11,8,4,12,1,4,5,5,1,6,72.81,SBF
19,SB,14.5,33,F,34.1,9,5,NA,5,NA,NA,NA,NA,NA,NA,10,4,14,6,2,8,7,2,9,49.46,SBF
22,SB,14.5,30,F,34.6,7,5,NA,5,14,3,17,8,4,12,13,2,15,NA,NA,NA,6,2,8,70.35,SBF
81,SB,12.2,23,F,29.59,6,4,1,5,13,3,16,8,4,12,11,5,16,2,1,3,5,2,7,65.26,SBF
82,SB,13.1,24,F,31.45,8,3,NA,3,9,7,16,9,5,14,11,4,15,NA,NA,NA,4,3,7,75.16,SBF
83,SB,14.5,33,M,38.55,6,5,NA,5,11,6,17,8,5,13,7,3,10,4,2,6,6,2,8,54.24,SBM
84,SB,14.0,31,F,34.48,7,4,NA,4,13,5,18,5,5,10,12,5,17,6,1,7,7,NA,7,61.81,SBF
85,SB,15.0,42,M,39.03,6,4,NA,4,18,6,24,9,3,12,9,4,13,5,NA,5,NA,NA,NA,60.69,SBM
86,SB,12.2,21,F,29.92,8,5,NA,5,11,4,15,9,4,13,NA,NA,NA,3,2,5,4,2,6,64.86,SBF
87,SB,13.8,28,F,35.3,9,1,1,2,NA,NA,NA,11,3,14,11,2,13,7,NA,7,8,1,9,60.47,SBF
88,SB,14.5,36,F,37.49,4,7,NA,7,10,6,16,10,5,15,NA,NA,NA,4,2,6,6,2,8,69.68,SBF
89,SB,17.2,48,F,44.14,5,5,NA,5,12,9,21,8,6,14,11,5,16,4,2,6,NA,NA,NA,72.3,SBF
96,SB,9.6,10,M,24.62,11,1,NA,1,9,6,15,10,3,13,NA,NA,NA,4,NA,4,NA,NA,NA,52.71,SBM
97,SB,9.9,12,F,25.9,6,3,NA,3,13,3,16,11,5,16,10,3,13,4,1,5,6,1,7,70.27,SBF
100,SB,13.5,29,M,36.35,8,3,NA,3,13,3,16,8,5,13,10,5,15,8,NA,8,5,NA,5,39.34,SBM
163,SB,11.0,16,M,29.2,8,3,NA,3,10,6,16,9,3,12,13,4,17,4,NA,4,6,2,8,59.78,SBM
169,SB,15.6,44,F,43.23,6,6,2,8,11,4,15,8,4,12,10,3,13,3,2,5,6,2,8,59.62,SBF
170,SB,14.0,38,F,32.85,8,3,NA,3,12,7,19,8,5,13,10,4,14,5,1,6,7,2,9,67.14,SBF
171,SB,16.0,46,F,38.14,9,5,NA,5,12,7,19,11,4,15,10,4,14,6,3,9,6,3,9,57.54,SBF
